using cpu device.
train epoch[1/20] loss:16.781
train epoch[1/20] loss:22.612
train epoch[1/20] loss:23.707
train epoch[1/20] loss:18.493
train epoch[1/20] loss:13.909
train epoch[1/20] loss:22.475
train epoch[1/20] loss:21.689
train epoch[1/20] loss:19.684
train epoch[1/20] loss:16.749
train epoch[1/20] loss:23.548
train epoch[1/20] loss:24.307
train epoch[1/20] loss:25.421
train epoch[1/20] loss:23.587
train epoch[1/20] loss:23.776
train epoch[1/20] loss:22.668
train epoch[1/20] loss:21.106
train epoch[1/20] loss:19.055
train epoch[1/20] loss:16.802
train epoch[1/20] loss:14.821
train epoch[1/20] loss:12.969
train epoch[1/20] loss:11.255
train epoch[1/20] loss:9.751
train epoch[1/20] loss:7.924
train epoch[1/20] loss:6.120
train epoch[2/20] loss:31.132
train epoch[2/20] loss:27.126
train epoch[2/20] loss:28.389
train epoch[2/20] loss:28.539
train epoch[2/20] loss:28.265
train epoch[2/20] loss:30.821
train epoch[2/20] loss:30.649
train epoch[2/20] loss:30.178
train epoch[2/20] loss:29.515
train epoch[2/20] loss:27.016
train epoch[2/20] loss:26.626
train epoch[2/20] loss:25.524
train epoch[2/20] loss:25.113
train epoch[2/20] loss:6.035
train epoch[2/20] loss:6.427
train epoch[2/20] loss:6.819
train epoch[2/20] loss:6.816
train epoch[2/20] loss:6.698
train epoch[2/20] loss:6.688
train epoch[2/20] loss:5.946
train epoch[2/20] loss:5.288
train epoch[2/20] loss:4.649
train epoch[2/20] loss:3.739
train epoch[2/20] loss:2.774
train epoch[3/20] loss:29.613
train epoch[3/20] loss:26.248
train epoch[3/20] loss:25.738
train epoch[3/20] loss:25.712
train epoch[3/20] loss:25.331
train epoch[3/20] loss:26.336
train epoch[3/20] loss:25.741
train epoch[3/20] loss:24.887
train epoch[3/20] loss:23.834
train epoch[3/20] loss:25.097
train epoch[3/20] loss:26.376
train epoch[3/20] loss:24.097
train epoch[3/20] loss:23.330
train epoch[3/20] loss:4.817
train epoch[3/20] loss:5.101
train epoch[3/20] loss:5.384
train epoch[3/20] loss:5.150
train epoch[3/20] loss:4.850
train epoch[3/20] loss:5.116
train epoch[3/20] loss:3.812
train epoch[3/20] loss:2.851
train epoch[3/20] loss:1.956
train epoch[3/20] loss:1.025
train epoch[3/20] loss:0.433
train epoch[4/20] loss:25.417
train epoch[4/20] loss:21.746
train epoch[4/20] loss:19.975
train epoch[4/20] loss:19.244
train epoch[4/20] loss:17.973
train epoch[4/20] loss:16.446
train epoch[4/20] loss:15.251
train epoch[4/20] loss:13.959
train epoch[4/20] loss:12.989
train epoch[4/20] loss:17.110
train epoch[4/20] loss:19.025
train epoch[4/20] loss:18.303
train epoch[4/20] loss:18.232
train epoch[4/20] loss:0.107
train epoch[4/20] loss:0.128
train epoch[4/20] loss:0.137
train epoch[4/20] loss:0.110
train epoch[4/20] loss:0.080
train epoch[4/20] loss:0.228
train epoch[4/20] loss:0.058
train epoch[4/20] loss:0.035
train epoch[4/20] loss:0.027
train epoch[4/20] loss:0.023
train epoch[4/20] loss:0.017
train epoch[5/20] loss:19.259
train epoch[5/20] loss:16.967
train epoch[5/20] loss:14.557
train epoch[5/20] loss:14.057
train epoch[5/20] loss:13.262
train epoch[5/20] loss:14.409
train epoch[5/20] loss:13.966
train epoch[5/20] loss:13.188
train epoch[5/20] loss:12.243
train epoch[5/20] loss:17.486
train epoch[5/20] loss:18.186
train epoch[5/20] loss:16.948
train epoch[5/20] loss:17.280
train epoch[5/20] loss:0.007
train epoch[5/20] loss:0.006
train epoch[5/20] loss:0.008
train epoch[5/20] loss:0.008
train epoch[5/20] loss:0.007
train epoch[5/20] loss:0.013
train epoch[5/20] loss:0.007
train epoch[5/20] loss:0.007
train epoch[5/20] loss:0.007
train epoch[5/20] loss:0.007
train epoch[5/20] loss:0.007
train epoch[6/20] loss:17.306
train epoch[6/20] loss:16.588
train epoch[6/20] loss:15.800
train epoch[6/20] loss:14.605
train epoch[6/20] loss:13.472
train epoch[6/20] loss:10.885
train epoch[6/20] loss:10.377
train epoch[6/20] loss:9.527
train epoch[6/20] loss:8.498
train epoch[6/20] loss:17.285
train epoch[6/20] loss:25.157
